ژول,فضاپیما
سرزمین موعود,باکو
ماشین,دوچرخه
چندوجهی,بازیگر
اسکلروز چندگانه,ام‌اس
گسل,سامانه
سلاح,کلاه‌ ایمنی
نمایشنامه‌نویس,تلویزیون
سازمان ملل متحد,بان‌کی‌مون
سی‌وسه‌پل,پل ریاضی
قصر سلطنتی,موزائیک
آبرنگ,قلمو
دموکراسی,سلطنت
گاوس,دانشمند
سل,ال‌ای‌دی
خودروی خودگردان,خودروی روباتیک
آخرالزمان,آتش
سرعت,پست
پلی‌استیشن,وی
لپ‌تاپ,رایانه کیفی
هری پاتر,جادوگر
اسنوبرد,اسکی
اشاره‌گر,اسلاید
حسگر,رادیاتور
اصابت,قاب
نظریه,فرضیه
وال‌استریت,بازار مالی
داروین,تکامل
بازیگر,هنرپیشه‌
فیلم,تئاتر
سرود ملی,میهن‌دوستی
نمایشگر,مانیتور
لبنیات,عسل
کوه اورست,کومولانگما
طناب‌کشی,مار و پله
آفت‌کش,آفت
پليس,سیاستمدار
نوروسایکولوژی,فراروانشناسی
باتری,انرژی
لژیون دونور,لوازم تحریر
مرد عنکبوتی,خیابان
شبه‌جزیره,جزیره
استوا,اکوادور
چارت,گراف
شبیه‌سازی,رباتیک
نایک,آدیداس
جامعه,فرهنگ
بازی استراتژیکی,استراتژی
کلیسا,کلیسای جامع
مترجم,خارجی
بیوتوپ,بیولوژی
ماگما,آتش‌فشان
طوفان فکری,تلسکوپ
مرحله,امتیاز
پنی,معامله
حزب سیاسی,انجمن
سونامی,دریا
شترمرغ,باغ سیب
دارچین,آب‌نبات
جارو,خاک
کهکشان,منجم
آبمیوه,میلک‌شیک
کرکره,پرده
مجرم,خلافکار
سرطان لوزالمعده,شیمی‌درمانی
گذشته,پیشین
سازمان ملل متحد,پارلمان اروپا
آهنگ,مجری
تفنگ,دفتریادداشت
استیل کولین,عنبیه
الفبا,خودکار
گروه کر,خواننده
چوب,پتو
سرباز,صلح
انگلیسی,آمریکایی
مارمولک,تمساح
پول,پول نقد
پاولِ هشت‌پا,هشت‌پا
تقویم,تعطیلات
باز,ماده شیمیایی
دولت,مارمولک
ین,پولشویی
ديپ‌مایند,گوگل ديپ‌مایند
شطرنج,کیش
غزل,زیبایی
کارمند,دفتر
پول,بورس
پلی‌ستر,پنبه
محکمه,عدالت
دم,پشت
تصادف,کتاب
بوران,باد
پیانو,هارمونی
سلطان,وزارت
بیابان,تپه ماسه‌ای
ضرب,تقسیم
ویروس,خون‌
عصر یخبندان,قانون
شمشیر,محیط
مدرسه ابتدایی,مداد
کریکت,حامی
مجسمه,تندیس
مرورگر وب,موزیلا فایرفاکس
لایکا,کنون
اچ‌اس‌بی‌سی,بریتانیا
کتاب مقدس,انجیل
لباس,رقص
آرایه,لیست
سلول,زندان
انشا,تکلیف
رایانه,دستگاه
پاندا,خرس قطبی
اختلال اعصاب,ذهن
کمپین,میمون
ثابت فارادی,کوله‌پشتی
کاخ,آسمان‌خراش
هلی‌کوپتر,هواپیما
دانشگاه کمبریج,دانشگاه آکسفورد
پرچم,میله
پنجره,سقف
ورق‌بازی,فریزبی
بدافزار,کرم
سیاره,ستاره
دونده,ورزشکار
کالیبر,چتر
وای‌فای,ویکی‌لیکس
خشکسالی,آب‌
فرودگاه,قطعه
ارکستر,گروه‌موسیقی
موخیتو,موهیتو
سرفصل دروس,امتحان
قضیه,نظریه
یویو,اسباب‌بازی
کولاک,باران
مورخ,تاریخ‌نگار
زیمنس,قطار برقی
قرن,سال
آلیاژ,فولاد
دادرس,قاضی
آشفتگی,کلاس
یادگیری از راه دور,اینترنت
ماسه,پا
صندوق بین‌المللی پول,دویچه بانک
گاردین,تایمز
کرم ابریشم,راه ابریشم
آزادی,واحه
سيتوپلاسم,انگشت
پروتستان,مسیحی
لئوناردو‌دا‌وینچی,شام آخر
نقشه,مربع
پارلمان,کنگره
جذب سرمایه,توسعه
آسیب‌شناسی,خون‌شناسی
دره,فرورفتگی
تلسکوپ,صندلی
هوی متال,صحنه
جهانی‌گرایی,روادید
خفاش,خون‌آشام
جانشین,افسر
الکتریسیته,جعبه
خارجی,بیگانه
دکمه,چرخ‌خیاطی
جادوگر,کابل
فیلسوف,مسابقه
ذرت‌ بو داده,سینما
کشاورزی,گیاه
شاعر,روزنامه‌نگار
آب‌و‌هوا,موج
تمدن,سبک زندگی
برف,یخ
جنگ جهانی دوم,بتهوون
مادربورد,برداصلی
باشگاه,علامت
اسکندرکبیر,فاتح
اپ,کهکشان
رایانش ابری,باران
تلویزیون,بازیگر
دلتا,دریا
نخ,رشته
گذرگاه عابران پیاده,شخص
پروتئین,دستگیره
یوتو,رونالدو
اپل,آیفون
نعناع فلفلی,آدامس
پوستر,کاغذ
یونیسف,ریشه
بیگانه‌هراسی,نژادپرستی
وودی آلن,لنز
لامپ,جن
نیروی دریایی,جزیره
ديوار,قلعه
دایناسور,فیل
برج‌ساعت,سنگ
خاورمیانه,فرات
علف‌زار,چمن‌زار
گیتار,ویولن
دیپلماسی,مذاکره
گرانش,شهاب
آی‌کیو,منسا
پرچم انگلستان,پرچم
زمین‌لرزه,زلزله
دارایی,موجودی کالا
عبری,بیت‌المقدس
ابری,پيش‌‌بینی
واژه‌نامه,دایرةالمعارف
ضرابخانه,موزه
صندلی,چهارپایه
اسپانیایی,رطوبت
قوطی,بطری
مگس,مورچه
اسطوره,طنز
مرکز شهر,اتوبوس
دم,بوئینگ ۷۴۷-۲۰۰
اثر هنری,هنرمند
ناتو,اتحاد
پادشاه,فرمانروا
نواخت,آهنگ
الکساندرفلمینگ,پنی‌سیلین
فلوت,موسیقی
حواصیل خاکستری,دریاچه
گرانروی,شتک
سخت‌افزار,جعبه رایانه
انگشتر,عقد
لاتین,آلمانی
