CATEGORY,WORD1,WORD2,WORD3,TARGET
semantic-capitals,ایران,تهران,چین,پکن
semantic-capitals,ایران,تهران,هند,دهلی‌نو
semantic-capitals,ایران,تهران,ژاپن,توکیو
semantic-capitals,ایران,تهران,فیلیپین,مانیل
semantic-capitals,ایران,تهران,روسیه,موسکو
semantic-capitals,ایران,تهران,مصر,قاهره
semantic-capitals,ایران,تهران,اندونزی,جاکارتا
semantic-capitals,ایران,تهران,کره‌جنوبی,سئول
semantic-capitals,ایران,تهران,بنگلادش,داکا
semantic-capitals,ایران,تهران,مکزیک,مکزیکوسیتی
semantic-capitals,ایران,تهران,بریتانیا,لندن
semantic-capitals,ایران,تهران,پرو,لیما
semantic-capitals,ایران,تهران,تایلند,بانکوک
semantic-capitals,ایران,تهران,کلمبیا,بوگوتا
semantic-capitals,ایران,تهران,ویتنام,هانوی
semantic-capitals,ایران,تهران,عراق,بغداد
semantic-capitals,ایران,تهران,سنگاپور,سنگاپور
semantic-capitals,ایران,تهران,ترکیه,آنکارا
semantic-capitals,ایران,تهران,شیلی,سانتیاگو
semantic-capitals,ایران,تهران,عربستان,ریاض
semantic-capitals,ایران,تهران,آلمان,برلین
semantic-capitals,ایران,تهران,سوریه,دمشق
semantic-capitals,ایران,تهران,الجزایر,الجزیره
semantic-capitals,ایران,تهران,اسپانیا,مادرید
semantic-capitals,ایران,تهران,کره‌شمالی,پیونگ‌یانگ
semantic-capitals,ایران,تهران,افغانستان,کابل
semantic-capitals,ایران,تهران,کنیا,نایروبی
semantic-capitals,ایران,تهران,یونان,آتن
semantic-capitals,ایران,تهران,اتیوپی,آدیس‌آبابا
semantic-capitals,ایران,تهران,آرژانتین,بوئنوس‌آیرس
semantic-capitals,ایران,تهران,ایتالیا,رم
semantic-capitals,ایران,تهران,اوکراین,کی‌یف
semantic-capitals,ایران,تهران,کامرون,یائونده
semantic-capitals,ایران,تهران,برزیل,برازیلیا
semantic-capitals,ایران,تهران,اردن,امان
semantic-capitals,ایران,تهران,آنگولا,لواندا
semantic-capitals,ایران,تهران,آفریقای‌جنوبی,پرتوریا
semantic-capitals,ایران,تهران,فرانسه,پاریس
semantic-capitals,ایران,تهران,ازبکستان,تاشکند
semantic-capitals,ایران,تهران,آذربایجان,باکو
semantic-capitals,ایران,تهران,کوبا,هاوانا
semantic-capitals,ایران,تهران,کامبوج,پنوم‌پن
semantic-capitals,ایران,تهران,رومانی,بخارست
semantic-capitals,ایران,تهران,ونزوئلا,کاراکاس
semantic-capitals,ایران,تهران,مراکش,رباط
semantic-capitals,ایران,تهران,اتریش,وین
semantic-capitals,ایران,تهران,سودان,خارطوم
semantic-capitals,ایران,تهران,مجارستان,بوداپست
semantic-capitals,ایران,تهران,لهستان,ورشو
semantic-capitals,ایران,تهران,بلاروس,مینسک
semantic-capitals,ایران,تهران,اوگاندا,کامپالا
semantic-capitals,ایران,تهران,غنا,آکرا
semantic-capitals,ایران,تهران,ماداگاسکار,آنتاناناریوو
semantic-capitals,ایران,تهران,لبنان,بیروت
semantic-capitals,ایران,تهران,سوئد,استکهلم
semantic-capitals,ایران,تهران,قطر,دوحه
semantic-capitals,ایران,تهران,یمن,صنعا
semantic-capitals,ایران,تهران,مالزی,کوالالامپور
semantic-capitals,ایران,تهران,لیبی,طرابلس
semantic-capitals,ایران,تهران,بلژیک,بروکسل
semantic-capitals,ایران,تهران,گرجستان,تفلیس
semantic-capitals,ایران,تهران,پاکستان,اسلام‌آباد
semantic-capitals,ایران,تهران,عمان,مسقط
semantic-capitals,ایران,تهران,ترکمنستان,عشق‌آباد
semantic-capitals,ایران,تهران,آمریکا,واشینگتن
semantic-capitals,ایران,تهران,امارات,ابوظبی
semantic-capitals,ایران,تهران,تاجیکستان,دوشنبه
semantic-capitals,ایران,تهران,بحرین,منامه
semantic-capitals,چین,پکن,ایران,تهران
semantic-capitals,چین,پکن,هند,دهلی‌نو
semantic-capitals,چین,پکن,ژاپن,توکیو
semantic-capitals,چین,پکن,فیلیپین,مانیل
semantic-capitals,چین,پکن,روسیه,موسکو
semantic-capitals,چین,پکن,مصر,قاهره
semantic-capitals,چین,پکن,اندونزی,جاکارتا
semantic-capitals,چین,پکن,کره‌جنوبی,سئول
semantic-capitals,چین,پکن,بنگلادش,داکا
semantic-capitals,چین,پکن,مکزیک,مکزیکوسیتی
semantic-capitals,چین,پکن,بریتانیا,لندن
semantic-capitals,چین,پکن,پرو,لیما
semantic-capitals,چین,پکن,تایلند,بانکوک
semantic-capitals,چین,پکن,کلمبیا,بوگوتا
semantic-capitals,چین,پکن,ویتنام,هانوی
semantic-capitals,چین,پکن,عراق,بغداد
semantic-capitals,چین,پکن,سنگاپور,سنگاپور
semantic-capitals,چین,پکن,ترکیه,آنکارا
semantic-capitals,چین,پکن,شیلی,سانتیاگو
semantic-capitals,چین,پکن,عربستان,ریاض
